name,ward,lat,lng,zone,railway_stations,metro_stations,bus_stops,colleges,schools,offices,malls,hospitals,parking_lots,tourist_spots,existing_cafes,existing_restaurants,existing_gyms,restaurant_count,restaurant_rating,restaurant_viability,restaurant_viability_norm,cafe_count,cafe_rating,cafe_viability,cafe_viability_norm,gym_count,gym_rating,gym_viability,gym_viability_norm,pharmacy_count,pharmacy_rating,pharmacy_viability,pharmacy_viability_norm,beauty_salon_count,beauty_salon_rating,beauty_salon_viability,beauty_salon_viability_norm,store_count,store_rating,store_viability,store_viability_norm,school_count,school_rating,school_viability,school_viability_norm,lodging_count,lodging_rating,lodging_viability,lodging_viability_norm,bar_count,bar_rating,bar_viability,bar_viability_norm,night_club_count,night_club_rating,night_club_viability,night_club_viability_norm,reckoner_rate,est_rent_sqft,rent_tier
Kandivali (East),R/S,19.2047,72.8649,Western Suburbs,4,8,4,0,4,0,12,24,0,2,4,4,0,43,4.1,667.15,58.8,18,4.7,249.1,52.6,6,3.9,45.53,23.3,28,4.0,377.14,60.9,13,4.2,144.09,43.5,18,3.5,185.5,10.7,1,3.5,2.43,1.6,4,4.8,30.9,15.8,0,0.0,0.0,0.0,3,4.0,16.64,53.9,28000,140.0,moderate
Borivali (West),R/N,19.2307,72.8567,Western Suburbs,4,6,20,0,2,12,12,112,0,36,0,2,4,57,4.3,995.21,87.7,28,4.1,386.57,81.6,9,4.2,87.04,44.5,16,4.5,203.99,32.9,15,4.0,166.36,50.2,69,3.7,1084.64,62.4,1,4.0,2.77,1.9,6,3.8,44.37,22.7,6,4.3,50.2,34.7,4,4.8,30.9,100.0,35000,175.0,premium
Borivali (East),R/S,19.2281,72.8687,Western Suburbs,4,8,0,0,4,0,16,28,0,20,0,0,4,49,4.4,843.43,74.3,3,3.7,15.39,3.2,4,4.7,30.26,15.5,9,3.9,80.82,13.1,22,4.8,331.11,100.0,85,4.0,1514.48,87.1,1,3.6,2.5,1.7,7,4.7,68.41,35.0,6,3.6,42.03,29.1,3,4.6,19.13,61.9,32000,160.0,premium
Dahisar (West),R/N,19.2523,72.8438,Western Suburbs,4,8,6,0,0,0,0,4,2,4,0,0,2,55,4.7,1040.55,91.7,4,3.9,25.11,5.3,6,4.8,56.04,28.7,25,3.6,293.23,47.4,19,3.6,204.91,61.9,69,3.6,1055.33,60.7,7,4.7,68.41,46.3,9,3.6,74.6,38.2,1,3.9,2.7,1.9,3,4.6,19.13,61.9,26000,130.0,moderate
Dahisar (East),R/S,19.253,72.8683,Western Suburbs,12,64,14,0,4,10,4,20,0,10,0,2,0,28,4.2,395.99,34.9,15,4.2,174.67,36.9,10,3.9,93.52,47.8,28,4.0,377.14,60.9,15,4.7,195.47,59.0,88,3.8,1501.0,86.4,7,4.4,64.05,43.4,15,4.6,191.31,97.9,7,3.8,55.31,38.2,0,0.0,0.0,0.0,25000,125.0,moderate
Mira Road,R/C,19.2812,72.8682,Western Suburbs,0,0,2,0,12,12,4,40,2,28,0,6,0,48,4.4,821.95,72.4,24,3.9,301.29,63.6,4,3.6,23.18,11.9,12,4.4,135.43,21.9,9,4.6,95.33,28.8,24,3.6,278.11,16.0,3,4.6,19.13,12.9,6,3.9,45.53,23.3,9,4.2,87.04,60.2,0,0.0,0.0,0.0,18000,90.0,moderate
Bhayander,R/C,19.3003,72.851,Western Suburbs,6,6,0,0,0,12,2,50,6,24,0,0,2,54,4.5,973.78,85.8,15,3.9,162.2,34.2,4,3.6,23.18,11.9,33,4.6,535.3,86.5,16,4.4,199.46,60.2,19,3.9,221.98,12.8,9,3.9,80.82,54.7,10,3.8,91.12,46.6,3,4.6,19.13,13.2,1,3.6,2.5,8.1,16000,80.0,moderate
Versova,K/W,19.1315,72.8193,Western Suburbs,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3.5,603.01,53.1,28,4.0,377.14,79.6,1,4.5,3.12,1.6,34,4.6,556.06,89.8,12,3.8,116.96,35.3,15,4.5,187.15,10.8,10,4.0,95.92,64.9,9,3.9,80.82,41.3,7,3.9,56.77,39.2,3,4.0,16.64,53.9,45000,225.0,premium
Lokhandwala,K/W,19.139,72.8286,Western Suburbs,4,130,28,10,20,60,12,56,8,50,18,34,12,39,4.7,676.17,59.6,22,4.6,317.31,67.0,1,4.6,3.19,1.6,7,3.7,53.86,8.7,22,4.2,289.72,87.5,46,4.2,743.85,42.8,4,4.2,27.04,18.3,9,3.8,78.75,40.3,10,3.7,88.72,61.3,1,3.6,2.5,8.1,50000,250.0,premium
Oshiwara,K/W,19.1464,72.829,Western Suburbs,4,8,14,8,24,42,14,36,2,38,18,12,8,33,3.9,453.84,40.0,13,4.4,150.95,31.9,9,4.3,89.11,45.6,34,4.5,543.97,87.9,13,4.5,154.38,46.6,76,4.7,1551.61,89.3,9,3.6,74.6,50.5,10,4.5,107.91,55.2,3,4.4,18.3,12.7,0,0.0,0.0,0.0,42000,210.0,premium
Powai,L,19.1176,72.906,Western Suburbs,0,0,26,6,6,4,18,10,4,76,24,40,4,55,3.5,774.88,68.3,3,4.4,18.3,3.9,1,4.2,2.91,1.5,31,4.5,483.47,78.1,22,3.9,269.03,81.3,34,3.7,447.26,25.7,1,3.8,2.63,1.8,15,3.8,158.04,80.9,4,4.4,28.33,19.6,4,4.5,28.97,93.8,45000,225.0,premium
Chandivali,L,19.1062,72.9073,Western Suburbs,0,0,0,4,4,4,16,6,0,42,0,0,0,34,4.2,507.7,44.7,3,4.7,19.55,4.1,12,3.9,120.04,61.4,33,4.2,488.75,78.9,10,4.1,98.31,29.7,27,4.3,386.87,22.3,12,4.3,132.35,89.6,3,4.3,17.88,9.1,1,3.6,2.5,1.7,3,4.7,19.55,63.3,38000,190.0,premium
Sakinaka,L,19.0967,72.8905,Western Suburbs,4,8,10,0,12,0,6,24,0,88,0,4,0,12,4.1,126.2,11.1,3,3.6,14.97,3.2,13,4.6,157.82,80.7,24,4.8,370.81,59.9,22,4.7,324.21,97.9,63,4.0,1048.04,60.3,1,4.8,3.33,2.3,13,3.9,133.8,68.5,4,4.6,29.61,20.5,1,3.9,2.7,8.7,30000,150.0,moderate
Vikhroli (West),L,19.1063,72.9245,Eastern Suburbs,2,0,18,0,10,12,8,6,2,26,0,0,0,10,4.1,98.31,8.7,12,3.6,110.81,23.4,2,4.7,10.33,5.3,17,4.6,226.03,36.5,14,3.6,136.49,41.2,58,3.8,898.69,51.7,7,3.8,55.31,37.4,8,4.0,70.31,36.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,28000,140.0,moderate
Vikhroli (East),L,19.1091,72.9352,Eastern Suburbs,2,0,4,4,6,0,2,24,0,6,0,0,0,36,4.8,623.97,55.0,20,4.1,249.65,52.7,8,3.8,66.8,34.2,18,3.7,196.1,31.7,7,4.0,58.22,17.6,58,3.8,898.69,51.7,6,4.6,53.71,36.4,4,4.8,30.9,15.8,7,4.7,68.41,47.3,2,3.8,8.35,27.0,26000,130.0,moderate
Kanjurmarg,L,19.121,72.9415,Eastern Suburbs,0,0,6,4,6,2,2,6,0,4,0,0,0,11,4.5,123.0,10.8,15,3.8,158.04,33.3,9,4.1,84.97,43.5,13,4.5,154.38,24.9,3,4.0,16.64,5.0,48,4.3,803.27,46.2,3,4.5,18.71,12.7,8,4.2,73.83,37.8,6,4.3,50.2,34.7,1,4.4,3.05,9.9,28000,140.0,moderate
Bhandup (West),N,19.1453,72.9416,Eastern Suburbs,2,0,6,6,6,0,4,34,0,10,2,0,0,20,4.5,274.01,24.1,5,3.5,31.36,6.6,10,4.6,110.3,56.4,7,3.7,53.86,8.7,10,3.8,91.12,27.5,30,4.1,422.38,24.3,8,4.1,72.07,48.8,1,3.7,2.56,1.3,8,4.6,80.86,55.9,1,3.9,2.7,8.7,24000,120.0,moderate
Bhandup (East),N,19.1474,72.9488,Eastern Suburbs,2,0,4,2,0,0,4,4,0,6,0,0,0,16,4.6,208.52,18.4,11,3.5,95.67,20.2,10,3.6,86.32,44.2,8,3.7,65.04,10.5,13,3.6,123.51,37.3,36,4.3,558.97,32.2,7,3.9,56.77,38.4,1,3.6,2.5,1.3,6,4.5,52.54,36.3,3,3.8,15.8,51.1,22000,110.0,moderate
Nahur,N,19.1325,72.9343,Eastern Suburbs,2,0,0,4,4,8,8,10,0,38,0,6,0,12,4.2,129.27,11.4,14,4.5,170.61,36.0,5,4.6,41.21,21.1,25,4.6,374.68,60.5,11,3.8,103.87,31.4,33,4.6,535.3,30.8,3,4.7,19.55,13.2,4,4.6,29.61,15.1,0,0.0,0.0,0.0,2,4.0,8.79,28.4,24000,120.0,moderate
Mulund (West),T,19.1735,72.9484,Eastern Suburbs,6,2,36,4,38,18,12,96,2,48,2,8,6,26,4.4,377.04,33.2,3,4.6,19.13,4.0,5,4.4,39.42,20.2,19,4.8,273.21,44.1,9,4.0,82.89,25.0,30,4.2,432.68,24.9,6,4.7,54.87,37.1,4,3.9,25.11,12.8,6,4.5,52.54,36.3,2,3.5,7.69,24.9,30000,150.0,moderate
Mulund (East),T,19.1756,72.9633,Eastern Suburbs,4,0,14,8,24,18,12,54,2,34,0,6,2,33,4.1,477.12,42.0,3,4.2,17.47,3.7,8,3.6,63.28,32.4,14,3.9,147.86,23.9,12,4.3,132.35,40.0,56,4.1,928.28,53.4,2,4.2,9.23,6.2,7,3.9,56.77,29.0,4,4.4,28.33,19.6,0,0.0,0.0,0.0,28000,140.0,moderate
Nahur West,N,19.142,72.9289,Eastern Suburbs,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3.8,246.67,21.7,14,3.7,140.28,29.6,3,4.0,16.64,8.5,24,3.9,301.29,48.7,5,3.9,34.94,10.6,24,3.8,293.56,16.9,6,3.7,43.2,29.2,2,3.7,8.13,4.2,7,4.4,64.05,44.3,3,3.8,15.8,51.1,24000,120.0,moderate
Tagore Nagar,M/E,19.0784,72.9207,Eastern Suburbs,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3.9,506.97,44.7,16,4.6,208.52,44.0,1,4.6,3.19,1.6,8,4.6,80.86,13.1,7,4.1,59.68,18.0,29,4.8,473.45,27.2,5,3.7,33.15,22.4,2,4.4,9.67,4.9,5,4.5,40.31,27.9,2,4.2,9.23,29.9,24000,120.0,moderate
Asalpha,L,19.0869,72.8984,Eastern Suburbs,6,8,14,8,2,6,12,94,0,88,0,0,0,27,4.1,368.88,32.5,15,3.6,149.72,31.6,5,4.3,38.52,19.7,20,3.9,237.47,38.4,7,4.6,66.96,20.2,40,3.6,534.75,30.8,4,3.8,24.46,16.6,9,4.0,82.89,42.4,6,3.7,43.2,29.9,0,0.0,0.0,0.0,24000,120.0,moderate
Vidyavihar,L,19.0817,72.8966,Eastern Suburbs,2,0,6,10,2,28,12,48,0,84,0,8,0,6,3.7,43.2,3.8,17,4.1,201.46,42.5,5,3.6,32.25,16.5,18,4.4,233.2,37.7,3,4.3,17.88,5.4,40,4.5,668.44,38.5,5,4.5,40.31,27.3,1,3.5,2.43,1.2,5,4.1,36.73,25.4,1,3.6,2.5,8.1,30000,150.0,moderate
Garodia Nagar,N,19.0937,72.9095,Eastern Suburbs,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3.9,176.79,15.6,11,4.5,123.0,26.0,4,3.7,23.82,12.2,10,3.6,86.32,13.9,9,4.5,93.25,28.2,40,3.9,579.32,33.3,6,4.7,54.87,37.1,1,4.6,3.19,1.6,5,4.0,35.84,24.8,2,3.7,8.13,26.3,24000,120.0,moderate
Pant Nagar,N,19.0898,72.9047,Eastern Suburbs,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3.9,384.68,33.9,4,4.1,26.39,5.6,4,3.9,25.11,12.8,15,3.7,153.88,24.9,5,4.7,42.11,12.7,36,4.2,545.97,31.4,7,4.0,58.22,39.4,8,3.7,65.04,33.3,6,4.1,47.87,33.1,3,4.4,18.3,59.2,24000,120.0,moderate
Tilaknagar,M/E,19.0596,72.9098,Eastern Suburbs,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4.3,500.39,44.1,17,4.3,211.29,44.6,5,3.7,33.15,17.0,6,4.3,50.2,8.1,8,4.3,75.58,22.8,46,4.8,850.11,48.9,1,4.2,2.91,2.0,10,4.7,112.7,57.7,1,4.5,3.12,2.2,3,4.2,17.47,56.5,28000,140.0,moderate
Chembur Colony,M/E,19.0537,72.8942,Eastern Suburbs,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4.5,123.0,10.8,17,4.1,201.46,42.5,8,4.4,77.34,39.6,14,4.0,151.65,24.5,4,3.9,25.11,7.6,39,4.7,676.17,38.9,8,4.4,77.34,52.3,5,4.7,42.11,21.5,8,4.4,77.34,53.5,1,4.1,2.84,9.2,24000,120.0,moderate
Deonar,M/E,19.0457,72.9186,Eastern Suburbs,2,14,4,16,12,6,2,16,4,46,6,8,2,12,3.6,110.81,9.8,5,4.0,35.84,7.6,4,3.7,23.82,12.2,20,4.2,255.74,41.3,12,4.0,123.12,37.2,25,4.4,358.39,20.6,8,4.5,79.1,53.5,3,4.5,18.71,9.6,0,0.0,0.0,0.0,3,3.8,15.8,51.1,26000,130.0,moderate
Shivaji Nagar (E),M/E,19.0355,72.9281,Eastern Suburbs,0,0,0,16,12,6,2,8,10,32,0,4,2,22,4.8,331.11,29.2,17,4.6,226.03,47.7,9,4.3,89.11,45.6,15,4.5,187.15,30.2,14,4.1,155.44,46.9,43,4.3,699.7,40.3,1,4.0,2.77,1.9,9,4.2,87.04,44.5,5,4.5,40.31,27.9,3,4.8,19.96,64.6,24000,120.0,moderate
Vashi Naka,M/E,19.0643,72.9248,Eastern Suburbs,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3.9,401.78,35.4,4,4.8,30.9,6.5,9,4.7,97.4,49.8,21,4.6,298.59,48.2,6,4.8,56.04,16.9,26,3.9,334.2,19.2,4,3.9,25.11,17.0,0,0.0,0.0,0.0,8,4.7,82.62,57.1,0,0.0,0.0,0.0,24000,120.0,moderate
Kurla North,L,19.0762,72.8843,Eastern Suburbs,0,0,0,0,0,0,0,0,0,0,0,0,0,34,4.7,568.14,50.0,18,4.0,212.0,44.7,10,4.3,103.11,52.7,9,3.7,76.68,12.4,15,4.1,170.51,51.5,32,3.6,402.8,23.2,2,3.9,8.57,5.8,7,4.2,61.14,31.3,2,4.0,8.79,6.1,1,4.3,2.98,9.6,24000,120.0,moderate
Vashi,NMC-A,19.0771,73.0072,Navi Mumbai,0,0,8,10,12,6,12,30,4,36,0,0,0,14,3.5,132.69,11.7,7,4.4,64.05,13.5,2,3.6,7.91,4.0,17,4.7,230.94,37.3,7,4.6,66.96,20.2,34,4.6,556.06,32.0,5,3.9,34.94,23.6,0,0.0,0.0,0.0,5,4.7,42.11,29.1,1,4.2,2.91,9.4,25000,125.0,moderate
Belapur,NMC-B,19.0229,73.0346,Navi Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3.9,191.63,16.9,2,3.8,8.35,1.8,6,4.0,46.7,23.9,13,4.2,144.09,23.3,2,3.5,7.69,2.3,37,3.5,471.07,27.1,2,4.4,9.67,6.5,4,3.6,23.18,11.9,0,0.0,0.0,0.0,2,3.6,7.91,25.6,22000,110.0,moderate
Kharghar,NMC-C,19.0474,73.0661,Navi Mumbai,2,6,0,6,6,2,6,38,0,14,0,10,2,11,4.4,120.27,10.6,12,4.4,135.43,28.6,7,4.1,59.68,30.5,16,4.6,208.52,33.7,7,4.1,59.68,18.0,7,4.2,61.14,3.5,1,3.9,2.7,1.8,0,0.0,0.0,0.0,5,4.6,41.21,28.5,0,0.0,0.0,0.0,18000,90.0,moderate
Panvel,NMC-D,18.9894,73.1175,Navi Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4.0,46.7,4.1,10,4.5,107.91,22.8,6,3.6,42.03,21.5,3,4.6,19.13,3.1,2,4.1,9.01,2.7,9,3.6,74.6,4.3,1,3.9,2.7,1.8,0,0.0,0.0,0.0,2,4.5,9.89,6.8,1,4.4,3.05,9.9,12000,60.0,budget
Nerul,NMC-E,19.0398,73.0175,Navi Mumbai,2,0,26,24,22,2,4,34,4,74,0,2,4,5,4.3,38.52,3.4,4,4.0,25.75,5.4,4,3.6,23.18,11.9,10,4.0,95.92,15.5,7,4.5,65.5,19.8,37,4.1,551.82,31.8,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,4.7,10.33,33.4,20000,100.0,moderate
Airoli,NMC-F,19.1557,72.999,Navi Mumbai,2,0,42,0,8,16,0,34,6,16,0,0,2,7,4.8,69.87,6.2,4,4.2,27.04,5.7,2,4.7,10.33,5.3,11,4.6,125.74,20.3,7,4.4,64.05,19.3,34,4.4,531.88,30.6,3,3.8,15.8,10.7,6,3.8,44.37,22.7,0,0.0,0.0,0.0,0,0.0,0.0,0.0,18000,90.0,moderate
Ghansoli,NMC-G,19.1178,73.0025,Navi Mumbai,2,0,24,6,4,6,0,2,0,8,0,0,0,11,4.1,112.07,9.9,9,4.3,89.11,18.8,7,4.1,59.68,30.5,17,4.6,226.03,36.5,8,3.7,65.04,19.6,37,4.0,538.36,31.0,3,4.6,19.13,12.9,1,4.5,3.12,1.6,2,3.7,8.13,5.6,2,4.4,9.67,31.3,18000,90.0,moderate
Kopar Khairane,NMC-H,19.1045,73.0065,Navi Mumbai,2,0,30,8,20,8,0,26,2,10,2,10,0,13,3.8,130.37,11.5,13,3.8,130.37,27.5,3,4.8,19.96,10.2,10,3.9,93.52,15.1,9,4.8,99.47,30.0,30,4.4,453.29,26.1,5,3.8,34.04,23.0,0,0.0,0.0,0.0,2,3.8,8.35,5.8,0,0.0,0.0,0.0,18000,90.0,moderate
Sanpada,NMC-I,19.0606,73.0098,Navi Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4.6,66.96,5.9,13,4.2,144.09,30.4,7,3.8,55.31,28.3,9,3.7,76.68,12.4,7,4.1,59.68,18.0,29,3.7,364.95,21.0,5,4.0,35.84,24.3,2,4.7,10.33,5.3,0,0.0,0.0,0.0,0,0.0,0.0,0.0,18000,90.0,moderate
Turbhe,NMC-J,19.0866,73.0174,Navi Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3.6,278.11,24.5,3,3.9,16.22,3.4,7,4.0,58.22,29.8,11,3.7,101.14,16.3,2,3.6,7.91,2.4,14,3.7,140.28,8.1,0,0.0,0.0,0.0,3,4.1,17.05,8.7,3,4.1,17.05,11.8,1,4.0,2.77,9.0,18000,90.0,moderate
Juinagar,NMC-K,19.0271,73.0187,Navi Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3.7,53.86,4.7,9,3.5,72.53,15.3,3,4.8,19.96,10.2,14,3.6,136.49,22.0,7,3.8,55.31,16.7,30,4.3,442.98,25.5,2,4.7,10.33,7.0,4,4.5,28.97,14.8,3,4.5,18.71,12.9,0,0.0,0.0,0.0,18000,90.0,moderate
Seawoods,NMC-L,19.0181,73.0153,Navi Mumbai,2,0,44,8,16,4,8,18,2,58,0,4,2,16,4.8,217.59,19.2,6,4.5,52.54,11.1,2,3.7,8.13,4.2,14,3.9,147.86,23.9,9,3.7,76.68,23.2,30,3.9,401.78,23.1,5,3.6,32.25,21.8,0,0.0,0.0,0.0,4,3.9,25.11,17.4,0,0.0,0.0,0.0,22000,110.0,moderate
Ulwe,NMC-M,18.9734,73.0247,Navi Mumbai,2,0,6,2,2,2,0,0,2,6,0,0,0,21,3.6,233.68,20.6,14,4.1,155.44,32.8,4,4.2,27.04,13.8,9,3.5,72.53,11.7,9,3.8,78.75,23.8,28,3.6,339.42,19.5,2,3.7,8.13,5.5,0,0.0,0.0,0.0,2,4.7,10.33,7.1,0,0.0,0.0,0.0,18000,90.0,moderate
Dronagiri,NMC-N,18.9376,72.9831,Navi Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3.9,317.66,28.0,7,4.3,62.59,13.2,7,4.5,65.5,33.5,5,4.2,37.63,6.1,4,4.7,30.26,9.1,39,3.5,503.53,29.0,4,4.1,26.39,17.9,7,4.6,66.96,34.3,2,4.3,9.45,6.5,0,0.0,0.0,0.0,18000,90.0,moderate
Kamothe,NMC-O,19.0126,73.0889,Navi Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4.6,53.71,4.7,5,4.6,41.21,8.7,3,4.6,19.13,9.8,9,3.5,72.53,11.7,9,3.6,74.6,22.5,14,3.6,136.49,7.9,0,0.0,0.0,0.0,6,3.6,42.03,21.5,2,4.0,8.79,6.1,1,3.5,2.43,7.9,18000,90.0,moderate
Roadpali,NMC-P,19.0289,73.0997,Navi Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4.6,226.03,19.9,2,4.3,9.45,2.0,2,4.6,10.11,5.2,17,3.5,171.98,27.8,4,4.5,28.97,8.7,35,4.8,602.03,34.6,2,3.9,8.57,5.8,5,4.6,41.21,21.1,4,4.3,27.68,19.1,1,3.7,2.56,8.3,18000,90.0,moderate
New Panvel,NMC-Q,18.996,73.1092,Navi Mumbai,0,0,4,4,8,8,4,46,0,14,0,0,0,6,4.3,50.2,4.4,4,4.3,27.68,5.8,7,4.0,58.22,29.8,14,4.4,166.82,26.9,2,4.5,9.89,3.0,19,4.2,239.06,13.8,2,4.6,10.11,6.8,5,4.7,42.11,21.5,5,4.4,39.42,27.3,0,0.0,0.0,0.0,18000,90.0,moderate
Taloja,NMC-R,19.0658,73.1238,Navi Mumbai,0,0,0,0,0,0,0,0,0,2,0,0,0,7,4.2,61.14,5.4,1,4.5,3.12,0.7,2,3.9,8.57,4.4,9,4.4,91.18,14.7,8,3.8,66.8,20.2,32,4.3,481.12,27.7,3,3.8,15.8,10.7,3,4.7,19.55,10.0,5,4.6,41.21,28.5,0,0.0,0.0,0.0,18000,90.0,moderate
Kalamboli,NMC-S,19.0346,73.0804,Navi Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4.3,62.59,5.5,13,4.1,140.66,29.7,2,4.2,9.23,4.7,16,4.4,199.46,32.2,8,3.9,68.55,20.7,19,4.1,233.37,13.4,2,4.3,9.45,6.4,1,4.6,3.19,1.6,4,4.5,28.97,20.0,0,0.0,0.0,0.0,18000,90.0,moderate
Pushpak Nagar,NMC-T,19.02,73.1018,Navi Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4.5,65.5,5.8,1,3.6,2.5,0.5,6,4.5,52.54,26.9,17,3.8,186.72,30.2,2,4.0,8.79,2.7,9,4.6,95.33,5.5,2,4.2,9.23,6.2,0,0.0,0.0,0.0,4,4.7,30.26,20.9,1,4.5,3.12,10.1,18000,90.0,moderate
Thane (West),TMC-A,19.2183,72.9781,Thane,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.6,23.18,2.0,2,4.7,10.33,2.2,4,4.4,28.33,14.5,11,4.7,128.47,20.8,2,4.3,9.45,2.9,26,4.4,377.04,21.7,5,4.5,40.31,27.3,7,4.6,66.96,34.3,3,3.6,14.97,10.3,0,0.0,0.0,0.0,25000,125.0,moderate
Thane (East),TMC-B,19.2143,72.996,Thane,0,0,2,0,0,0,8,4,0,8,0,0,0,4,4.3,27.68,2.4,13,4.5,154.38,32.6,0,0.0,0.0,0.0,7,4.4,64.05,10.3,9,3.5,72.53,21.9,21,4.1,266.14,15.3,5,3.7,33.15,22.4,3,4.5,18.71,9.6,0,0.0,0.0,0.0,0,0.0,0.0,0.0,20000,100.0,moderate
Kopri,TMC-C,19.2071,72.999,Thane,0,0,6,0,0,0,2,8,0,2,0,2,2,22,3.7,255.23,22.5,7,3.8,55.31,11.7,6,4.6,53.71,27.5,5,3.8,34.04,5.5,9,3.8,78.75,23.8,17,4.6,226.03,13.0,0,0.0,0.0,0.0,7,4.2,61.14,31.3,2,4.4,9.67,6.7,1,4.3,2.98,9.6,20000,100.0,moderate
Naupada,TMC-D,19.1998,72.9818,Thane,0,0,42,6,18,6,26,54,2,48,0,0,0,4,3.5,22.53,2.0,9,4.4,91.18,19.2,6,4.4,51.37,26.3,13,4.8,164.68,26.6,6,3.6,42.03,12.7,13,4.5,154.38,8.9,1,4.8,3.33,2.3,6,4.3,50.2,25.7,0,0.0,0.0,0.0,2,3.9,8.57,27.7,26000,130.0,moderate
Vartak Nagar,TMC-E,19.2293,72.969,Thane,4,8,28,2,18,38,12,24,8,20,12,14,10,19,4.5,256.14,22.6,12,4.0,123.12,26.0,2,4.0,8.79,4.5,5,4.3,38.52,6.2,9,4.0,82.89,25.0,35,4.5,564.4,32.5,5,3.6,32.25,21.8,2,3.9,8.57,4.4,5,3.7,33.15,22.9,1,3.8,2.63,8.5,20000,100.0,moderate
Wagle Estate,TMC-F,19.1987,72.9627,Thane,0,0,30,0,6,14,26,52,0,50,0,10,6,6,3.6,42.03,3.7,9,3.8,78.75,16.6,4,4.4,28.33,14.5,12,4.7,144.66,23.4,4,3.7,23.82,7.2,20,4.8,292.27,16.8,1,4.4,3.05,2.1,2,3.6,7.91,4.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,22000,110.0,moderate
Manpada,TMC-G,19.1908,73.0182,Thane,2,0,4,0,4,0,0,4,0,0,0,0,0,7,4.2,61.14,5.4,2,4.3,9.45,2.0,3,4.0,16.64,8.5,8,3.6,63.28,10.2,9,3.9,80.82,24.4,38,4.8,668.23,38.4,4,3.9,25.11,17.0,6,4.7,54.87,28.1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,20000,100.0,moderate
Ghodbunder Road,TMC-H,19.255,72.968,Thane,0,4,8,6,4,2,4,12,2,18,0,2,0,7,3.9,56.77,5.0,12,4.0,123.12,26.0,3,4.3,17.88,9.1,10,4.6,110.3,17.8,5,3.5,31.36,9.5,7,3.8,55.31,3.2,1,4.8,3.33,2.3,1,4.3,2.98,1.5,2,4.0,8.79,6.1,0,0.0,0.0,0.0,22000,110.0,moderate
Majiwada,TMC-I,19.2352,72.9793,Thane,4,6,16,4,10,24,10,18,4,20,0,4,2,20,3.7,225.29,19.8,12,3.9,120.04,25.3,0,0.0,0.0,0.0,13,4.7,161.25,26.0,2,4.0,8.79,2.7,8,4.3,75.58,4.3,5,3.7,33.15,22.4,7,4.2,61.14,31.3,2,3.6,7.91,5.5,1,4.2,2.91,9.4,24000,120.0,moderate
Balkum,TMC-J,19.2452,72.9893,Thane,2,4,2,2,8,0,0,0,2,16,0,0,0,13,4.7,161.25,14.2,4,3.9,25.11,5.3,4,4.5,28.97,14.8,16,4.5,203.99,32.9,10,4.4,105.51,31.9,25,4.7,382.83,22.0,4,4.5,28.97,19.6,0,0.0,0.0,0.0,5,4.8,43.0,29.7,1,4.5,3.12,10.1,20000,100.0,moderate
Pokhran Road,TMC-K,19.21,73.0065,Thane,0,0,14,0,0,0,0,4,0,0,2,0,2,16,4.6,208.52,18.4,1,4.0,2.77,0.6,5,3.5,31.36,16.0,13,4.5,154.38,24.9,10,3.8,91.12,27.5,7,4.1,59.68,3.4,4,4.5,28.97,19.6,4,4.1,26.39,13.5,1,4.5,3.12,2.2,0,0.0,0.0,0.0,20000,100.0,moderate
Dombivli (East),KDMC-A,19.2157,73.0852,Thane,4,0,8,4,12,2,0,96,4,12,2,2,0,4,4.0,25.75,2.3,1,4.3,2.98,0.6,1,3.8,2.63,1.3,16,4.4,199.46,32.2,10,4.3,103.11,31.1,8,4.2,73.83,4.2,4,4.3,27.68,18.7,2,4.7,10.33,5.3,0,0.0,0.0,0.0,1,4.4,3.05,9.9,14000,70.0,budget
